country_name_norm,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,co2_emission_kt_avg_2017_2019,co2_emission_kt_2019
france,53.33790523690773,1.0124688279301746,30.502493765586035,2.6408977556109727,51.46259351620947,308466.65445963567,300519.989013672
gabon,78.1,1.5,24.3,0.1,78.1,5233.333269755043,5250.0
gambia,147.0,1.0,24.0,0.6666666666666666,147.0,556.6666722297667,579.999983310699
georgia,40.6,0.95,33.8,0.0,35.85,9803.33296457925,10109.9996566772
germany,48.24684014869889,0.8163568773234201,35.51524163568773,1.9947955390334573,46.234200743494426,699100.0162760416,657400.024414063
ghana,62.793103448275865,1.293103448275862,18.0,0.5,62.793103448275865,18576.667149861634,20040.0009155273
greece,68.28846153846153,1.125,43.20192307692308,2.2115384615384617,65.40384615384616,63939.99989827473,60000.0
guatemala,80.9504132231405,2.330578512396694,11.15702479338843,6.8429752066115705,80.9504132231405,18066.666285196934,19309.9994659424
guinea,62.476190476190474,1.1904761904761905,17.952380952380953,0.09523809523809523,62.476190476190474,3679.9999872843437,3950.00004768372
guinea-bissau,138.75,1.25,26.5,0.5,138.75,320.00000278155034,330.000013113022
guyana,45.5,0.5,16.75,0.0,45.5,2636.6666158040366,2849.99990463257
haiti,101.72222222222223,1.7222222222222223,22.944444444444443,3.5555555555555554,101.72222222222223,3313.33327293396,3319.9999332428
honduras,63.42857142857143,1.25,10.785714285714286,2.25,63.42857142857143,9843.333562215179,10220.0002670288
hungary,63.605633802816904,1.0,40.901408450704224,1.2112676056338028,62.54225352112676,46406.667073567696,46380.0010681152
iceland,23.0,1.0,23.0,0.0,18.333333333333332,1669.9999968210898,1639.99998569489
india,152.96422829581994,1.7435691318327975,55.06149517684887,1.965032154340836,149.4630225080386,2409546.63085938,2456300.04882813
indonesia,93.03693931398416,2.424802110817942,46.56992084432718,3.741424802110818,90.83377308707124,571383.3414713544,619840.026855469
iraq,114.07142857142857,1.2142857142857142,69.71428571428571,1.1428571428571428,108.07142857142857,164263.33109537768,174559.997558594
ireland,40.225806451612904,0.8064516129032258,33.54838709677419,0.8064516129032258,34.96774193548387,37063.332875569664,35750.0
israel,87.82608695652173,1.5869565217391304,47.34782608695652,6.195652173913044,87.82608695652173,63113.33465576174,62650.0015258789
italy,62.00408580183861,1.131767109295199,43.82124616956077,2.3513789581205313,56.307456588355464,323769.999186198,317239.990234375
jamaica,90.66666666666667,1.0,20.0,3.3333333333333335,90.66666666666667,8073.333263397217,8390.00034332275
japan,51.72364672364672,1.1581196581196582,39.63390313390313,3.511396011396011,41.495726495726494,1117649.9837239566,1081569.94628906
jordan,96.83333333333333,1.4166666666666667,56.166666666666664,3.5833333333333335,95.83333333333333,25186.666488647465,24629.9991607666
kazakhstan,61.2112676056338,1.0140845070422535,35.80281690140845,0.4507042253521127,57.521126760563384,214430.0028483077,212110.000610352
kenya,74.16666666666667,2.3666666666666667,21.3,1.0333333333333334,74.03333333333333,19583.333333333332,22280.0006866455
kuwait,162.0,2.6666666666666665,135.66666666666666,13.666666666666666,162.0,91590.00142415363,92650.0015258789
kyrgyzstan,81.53846153846153,0.46153846153846156,38.61538461538461,0.23076923076923078,81.53846153846153,10243.333498636894,10050.0001907349
latvia,39.90909090909091,1.0454545454545454,32.90909090909091,0.22727272727272727,35.77272727272727,7493.333339691163,7570.00017166138
lebanon,72.0,1.3333333333333333,46.5,2.5,72.0,28353.333791097,27950.0007629395
lesotho,89.6,2.8,14.0,2.8,89.6,733.3333293596903,769.999980926514
